"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"View","Zoom In","Ctrl+=","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Git","Commit...","Ctrl+1","In Windows"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Refactor - C++","Toggle Function - Refactoring ","Alt+Shift+T","C/C++ Editor"
"Edit","Select Next C/C++ Element","Alt+Shift+Right","C/C++ Editor"
"C/C++ Source","Find Declaration","Ctrl+G","C/C++ Editor"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Window","Activate Editor","F12","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"File","Refresh","F5","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Navigate","Open Declaration","F3","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"File","Close All","Ctrl+Shift+F4","In Windows"
"File","Save","Ctrl+S","In Windows"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"C/C++ Source","Find References","Ctrl+Shift+G","In C/C++ Views"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Navigate","Next Sub-Tab","Alt+Right","In Dialogs and Windows"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
